priority,page_type,proposed_url,primary_intent,publication_gate
P0,homepage,/,AI-powered digital marketing agency,"Approved positioning, service scope, proof, phone/address, conversion path"
P0,service hub,/services/,digital marketing services,"Complete service taxonomy and working child links"
P0,service,/services/seo/,SEO services,"Real deliverables, process, measurement, approved examples"
P0,service,/services/local-seo/,local SEO services,"Verified local expertise, GBP/process detail, approved examples"
P0,service,/services/google-ads/,Google Ads management,"Real deliverables, account process, measurement, approved examples"
P0,service,/services/social-media-marketing/,social media marketing agency,"Platforms, production model, approval flow, approved work"
P0,service,/services/ai-automation/,AI automation agency,"Working demos, integration capability, human-oversight safeguards"
P0,service,/services/content-creation/,content creation services,"Approved portfolio and production process"
P0,service,/ai-video-creation-service/,AI video creation service,"Real accessible video samples and approved results"
P0,trust,/about-us/,about Media87,"Verified founder/team/business information and proof"
P0,conversion,/contact-us/,contact Media87,"Working form, tel, WhatsApp/chat, consent, spam protection, analytics"
P1,service,/services/chatbot-development/,chatbot development,"Working demos, supported integrations, handoff and data safeguards"
P1,service,/services/reputation-management/,reputation management,"Active offer, compliant review collection process, approved examples"
P1,proof,/case-studies/,digital marketing case studies,"At least three approved case studies"
P1,person,/team/muddaser-altaf/,Muddaser Altaf Media87,"Approved biography, experience, profiles, authorship"
P1,editorial hub,/insights/,Media87 insights,"Curated taxonomy, no thin archive generation"
P1,solution,/solutions/lead-generation/,lead generation,"Clear system, scope, proof, service relationships"
P1,solution,/solutions/multi-location-marketing/,multi-location marketing,"Actual capability and client/process evidence"
P1,solution,/solutions/marketing-automation/,marketing automation,"Working systems, integrations, safeguards"
P2,industry,/industries/real-estate/,real estate marketing,"Approved industry experience and case study"
P2,industry,/industries/restaurants-hospitality/,restaurant and hospitality marketing,"Approved industry experience and case study"
P2,industry,/industries/ecommerce/,ecommerce marketing,"Approved industry experience and case study"
P2,industry,/industries/professional-services/,professional services marketing,"Approved industry experience and case study"
P2,product,/products/chatzen/,AI chatbot platform,"Product is active, supported, demonstrable, and claims are approved"
P2,product,/products/localzen/,reputation management platform,"Product is active, supported, demonstrable, and claims are approved"
P2,tool,/tools/marketing-budget-calculator/,marketing budget calculator,"Functional calculator, reviewed methodology, no deceptive output"
P2,tool,/tools/roas-break-even-calculator/,ROAS break-even calculator,"Functional calculator and reviewed methodology"
